rr_additive_index,percent_muslim_arda,kosovo_recognition_dummy,belgrad_distance,dem2007,gdppc2007,regnum,ethnic_diversity_alesina,usfdigdp19901999_modified,NATO2007,percent_albanian,socialism,Griffiths,distance1000,percent_muslim25
17.4,99.73,1,4277,0,285.917,8,0.7693,0.000802933,1,0.00E+00,0,0,4.277,3.9892001
1.8,61.88,1,338,1,2941.75,5,0.2204,-0.00053515,1,8.95E+01,0,0,0.338,2.4752
15.7,97.92,0,1728,0,3092.04,7,0.3394,0.013095389,1,0.00E+00,0,0,1.728,3.9167999
0.7,0.83,1,1543,1,33840.199,4,0.7139,0.041524843,1,0.00E+00,0,0,1.543,0.0332
4.4,0.58,0,5844,0,2359.28,6,0.7837,0.061273001,1,0.00E+00,0,1,5.844,0.0232
0,0.55,0,8088,1,14777.2,2,0.1643,0.003959556,1,0.00E+00,0,0,8.088,0.022
17.299999,87.68,0,2448,0,2596.06,5,0.2047,0.100587659,1,0.00E+00,0,1,2.448,3.5072
5.8,1.95,0,11780,1,14227.78,3,0.255,0.04936257,1,1.24E-02,0,0,11.78,0.078
3.2,1.97,1,15566,1,35299.199,11,0.0929,0.048566751,1,9.55E-02,0,0,15.566,0.0788
8.1,4.46,1,542,1,39501.5,5,0.1068,0.00949103,1,3.02E-01,0,0,0.542,0.1784
1.5,0,0,8644,1,23430.699,2,0.4228,0.46798417,1,0.00E+00,0,0,8.644,0
13,83.6,1,3415,0,15072.2,7,0.5021,-0.010801638,1,0.00E+00,0,0,3.415,3.3439999
15.6,88.85,0,6676,0,467.065,8,0.0454,0.002069,1,0.00E+00,1,1,6.676,3.5539999
16.4,2.36,0,2024,1,2110.42,5,0.1272,0.0005827,1,0.00E+00,0,0,2.024,0.0944
1.9,0.95,0,8197,1,15138.1,2,0.1423,0.24017185,1,0.00E+00,0,0,8.197,0.038
8.8,3.67,1,1389,1,37511.199,4,0.5554,0.049722798,2,1.22E-01,0,1,1.389,0.1468
13.2,0.23,0,6340,1,81436.297,8,0.605,0.0076923,1,0.00E+00,0,0,6.34,0.0092
